in_store_number,in_store_name,in_address,n_address,n_roadaddress,n_latitude,n_longitude,n_store_type,n_navermap_link,n_telephone,,,,,,,,
110365749,(주)캐리맥스통상,경기도 성남시 분당구 미금로34번길 7,경기도 성남시 분당구 구미동 205-6,경기도 성남시 분당구 미금로34번길 7,37.3369748,127.1169617,제조업>가방제조,,031-716-8627,,,,,,,,
110366044,복정고등학교 수업료,경기 성남시 수정구 복정안골로 35,,,37.4615083,127.1371877,"교육,학문>고등학교",,,,,,,,,,
110366051,성남테크노과학고등학교,경기 성남시 중원구 둔촌대로258번길 7,경기도 성남시 중원구 하대원동 153,경기도 성남시 중원구 둔촌대로258번길 7 성남테크노과학고등학교,37.427988,127.1476865,"교육,학문>고등학교",http://sts.hs.kr/,031-753-0254,,,,,,,,
110366127,이매고등학교 수업료,경기 성남시 분당구 탄천로 1,,,37.3928686,127.1215874,"교육,학문>고등학교",,,,,,,,,,
110366762,쥬얼트리,경기도 성남시 분당구 황새울로360번길 22,경기도 성남시 분당구 서현동 247-1,경기도 성남시 분당구 황새울로360번길 22,37.3861469,127.1254295,"쇼핑,유통>패션잡화",,031-703-0324,,,,,,,,
110366770,이매고등학교,경기 성남시 분당구 탄천로 1,경기도 성남시 분당구 이매동 147,경기도 성남시 분당구 탄천로 1,37.3924238,127.1214403,"교육,학문>고등학교",http://www.imae.hs.kr/,031-704-4042,,,,,,,,
110366929,판교고등학교 수업료,경기 성남시 분당구 동판교로 257,,,37.4053989,127.1146753,"교육,학문>고등학교",,,,,,,,,,
110368206,사나푸드해오름도서관점,경기도 성남시 중원구 희망로 403,,,37.4416005,127.1594455,*** 일반대중음식,,,,,,,,,,
110368305,카페 가넷푸드머스,경기도 성남시 분당구 내정로166번길 43,,,37.3703665,127.1226409,*** 일반대중음식,,,,,,,,,,
110369014,드림온 아트 (Dream on Art),경기도 성남시 분당구 안골로 12-6,,,37.3843028,127.1340172,*** 일반전문학원,,,,,,,,,,
110369048,엔젤홈마트내반찬코너,경기도 성남시 분당구 성남대로 165,,,37.350767,127.1083083,*** 식품잡화,,,,,,,,,,
110369071,더리틀즈,경기도 성남시 수정구 위례서일로3길 4,경기도 성남시 수정구 창곡동  549-5,경기도 성남시 수정구 위례서일로3길 4,37.4655881,127.1389354,"키즈카페,실내놀이터",,031-758-3966,,,,,,,,
110369121,수내고등학교,경기 성남시 분당구 발이봉북로 15,경기도 성남시 분당구 수내동 120,경기도 성남시 분당구 발이봉북로 15,37.3659296,127.1292691,"교육,학문>고등학교",http://www.sunae.hs.kr/,031-715-8278,,,,,,,,
110369188,성남테크노과학고등학교 수업료,경기 성남시 중원구 둔촌대로258번길 7,,,37.4279655,127.1477214,"교육,학문>고등학교",,,,,,,,,,
110369220,복정고등학교,경기 성남시 수정구 복정안골로 35,경기도 성남시 수정구 복정동 144-1,경기도 성남시 수정구 복정안골로 35,37.4612954,127.1373225,"교육,학문>고등학교",http://www.bokjeong.hs.kr/,,,,,,,,,
110369238,한솔고등학교,경기 성남시 분당구 내정로 70,경기도 성남시 분당구 정자동 115,경기도 성남시 분당구 내정로 70 한솔고등학교,37.3667124,127.1157489,"교육,학문>고등학교",http://www.hansol.hs.kr/,031-714-4381,,,,,,,,
110369253,서현고등학교 수업료,경기 성남시 분당구 분당로 87,,,37.3817863,127.12355,"교육,학문>고등학교",,,,,,,,,,
110369279,한솔고등학교 수업료,경기 성남시 분당구 내정로 70,,,37.3670011,127.11612,"교육,학문>고등학교",,,,,,,,,,
110369337,돌마고등학교,경기 성남시 분당구 이매로 105,경기도 성남시 분당구 이매동 265,경기도 성남시 분당구 이매로 105 돌마고등학교,37.3932993,127.1316839,"교육,학문>고등학교",http://www.dolma.hs.kr/,,,,,,,,,
110369378,멜로컴퍼니,경기도 성남시 수정구 성남대로1390번길 33-13,,,37.4544108,127.1311891,"*** 용역서비스(연구,번역등)",,,,,,,,,,
110372414,대성금호상회,경기도 성남시 중원구 마지로 118,,,37.4273424,127.1423773,*** 농수산물,,,,,,,,,,
110372646,천연의물결 서현1호점,경기도 성남시 분당구 불정로 380,,,37.3739747,127.1368524,"*** 이용,미용",,,,,,,,,,
110372877,주식회사 이카플러그,경기도 성남시 중원구 사기막골로 124,,,37.4403449,127.1776495,*** 컴퓨터  소프트웨어,,,,,,,,,,
110372984,나물그램,경기도 성남시 분당구 판교원로 68,경기도 성남시 분당구 운중동 922,경기도 성남시 분당구 판교원로 68 산운마을11단지 상가 102호,37.3889151,127.0740955,음식점>한식,,031-707-4679,,,,,,,,
110374246,제이에스케어(JS케어),경기도 성남시 중원구 성남대로1147번길 11,경기도 성남시 중원구 성남동 4283,경기도 성남시 중원구 성남대로1147번길 11,37.4318454,127.1277335,"쇼핑,유통>휠체어",,031-758-4178,,,,,,,,
110375920,오씨아저씨,경기도 성남시 중원구 희망로343번길 2,,,37.4364357,127.1578741,*** 농수산물,,,,,,,,,,
110375987,곽여성병원부설에스테틱센터,경기도 성남시 수정구 수정로 93,,,37.4409135,127.1307139,*** 화장품,,,,,,,,,,
110376621,위례중식샤브샤브,경기도 성남시 수정구 위례광장로 82,,,0,0,,,,,,,,,,,
110376647,라이브캐스트미디어,경기도 성남시 중원구 사기막골로 124,,,37.4403449,127.1776495,"*** 사진관,DPNE",,,,,,,,,,
110376845,정든계란,경기 성남시 중원구 광명로110번길 6,,,0,0,"쇼핑,유통>달걀",,,,,,,,,,
110377066,핌리코,경기도 성남시 분당구 정자일로 146,경기도 성남시 분당구 정자동 165-1 엠코헤리츠 101동 107호,경기도 성남시 분당구 정자일로 146 엠코헤리츠 101동 107호,37.3630339,127.1065325,"카페,디저트>카페",http://www.pimlico.co.kr/,,,,,,,,,
110379187,아구찜,경기도 성남시 중원구 박석로 70,,,0,0,"한식>아귀찜,해물찜",,,,,,,,,,
110379245,성진수산,경기도 성남시 수정구 수정남로18번길 9,,,37.4388747,127.1304137,*** 농수산물,,,,,,,,,,
110381662,중원문고 드림디포점 - 문화비,경기도 성남시 수정구 수정로 150,,,37.4420899,127.1367241,*** 서적,,,,,,,,,,
110381761,중앙곱창,경기도 성남시 수정구 탄리로120번길 4,,,0,0,,,,,,,,,,,
110381860,라이트업 (Light up),경기도 성남시 분당구 운중로 253,,,37.3895397,127.0912262,*** 스포츠센타/레포츠클럽,,,,,,,,,,
110382314,52리폼,경기도 성남시 분당구 내정로165번길 38,,,37.3767071,127.1162823,*** 각종  수리점,,,,,,,,,,
110382496,키치런던 (Kitch London),경기도 성남시 분당구 내정로166번길 42,,,37.3700236,127.1216493,*** 악세사리,,,,,,,,,,
110382819,성남여자고등학교,경기 성남시 중원구 원터로94번길 6,경기도 성남시 중원구 성남동 2876-4,경기도 성남시 중원구 원터로94번길 6,37.4356872,127.1457332,"교육,학문>고등학교",http://www.seongnam-gs.hs.kr/,,,,,,,,,
110383106,중원문고 이매점 - 문화비,경기도 성남시 분당구 판교로 440,,,37.4051328,127.1226503,*** 서적,,,,,,,,,,
110384328,이번지 깡통집,경기도 성남시 수정구 복정로 57,경기도 성남시 수정구 복정동 685-11,경기도 성남시 수정구 복정로 57 1층 이번지 깡통집,37.4581245,127.1265655,한식>돼지고기구이,,031-751-2748,,,,,,,,
110385259,정직한복구,경기도 성남시 중원구 원터로18번길 30-1,,,37.4296824,127.1478735,*** 각종  수리점,,,,,,,,,,
110386208,지에스파크24 (주)킨스타워 주차장,경기도 성남시 분당구 성남대로331번길 9-6,,,37.3652739,127.1067762,*** 주차장,,,,,,,,,,
110387578,나르다,경기도 성남시 분당구 정자일로 121,,,37.3613895,127.1051555,*** 침구(이불),,,,,,,,,,
110387818,서기치킨,경기도 성남시 분당구 장미로86번길 12-1,,,37.4125762,127.1302116,*** 한식,,,,,,,,,,
110389558,커피에반하다,경기도 성남시 중원구 광명로 89,,,0,0,"카페,디저트>카페",http://www.coffeelovecoffee.com/,,,,,,,,,
110389616,크린토피아,경기도 성남시 분당구 판교로 421,,,0,0,세탁>세탁소,http://www.cleantopia.com/,,,,,,,,,
110389855,한뫼플러스 주식회사,경기도 성남시 분당구 성남대로916번길 7,,,37.411163,127.1298556,*** 식품잡화,,,,,,,,,,
110391596,연안식당 위례점,경기도 성남시 수정구 위례광장로 320,경기도 성남시 수정구 창곡동  509-3,경기도 성남시 수정구 위례광장로 320 107호~108호,37.4719836,127.1423069,"한식>해물,생선요리",http://yeonansikdang.co.kr/,031-755-7734,,,,,,,,
110391778,분당고등학교,경기 성남시 분당구 내정로165번길 31,경기도 성남시 분당구 수내1동 25,경기도 성남시 분당구 내정로165번길 31,37.3751724,127.1162218,"교육,학문>고등학교",http://www.bundang.hs.kr/,,,,,,,,,
110392768,성남농수산물 도.소매센터,경기도 성남시 중원구 둔촌대로425번길 31,,,37.4357182,127.1642972,*** 청과물,,,,,,,,,,
110392834,운남보이차분당점,경기도 성남시 분당구 황새울로351번길 10,,,37.3876779,127.1231362,*** 식품잡화,,,,,,,,,,
110392982,늘푸른고등학교,경기 성남시 분당구 성남대로407번길 26,경기도 성남시 분당구 정자동 6-3 늘푸른고등학교,경기도 성남시 분당구 성남대로407번길 26 늘푸른고등학교,37.3731337,127.1051181,"교육,학문>고등학교",http://www.npr.hs.kr/,031-726-4041,,,,,,,,
110393386,수내고등학교 수업료,경기 성남시 분당구 발이봉북로 15,,,37.3660879,127.1295624,*** 학교등록금,,,,,,,,,,
110394350,헤어바이206 (HAIR BY 206),경기도 성남시 수정구 위례광장로 34,경기도 성남시 수정구 창곡동  564,경기도 성남시 수정구 위례광장로 34,37.4666548,127.1410341,"생활,편의>미용실",,031-758-6199,,,,,,,,
110394434,(주)창섭 마트로,경기도 성남시 분당구 동판교로266번길 14,,,37.4062286,127.1169081,*** 식품잡화,,,,,,,,,,
110395555,메쏘드잉글리쉬영어교습소,경기도 성남시 분당구 돌마로356번길 3,,,37.3697287,127.1233338,*** 일반전문학원,,,,,,,,,,
110395621,빅토리복싱짐,경기도 성남시 분당구 돌마로 361,경기도 성남시 분당구 수내동 63-2,경기도 성남시 분당구 돌마로 361 B1층,37.3706027,127.1229279,"스포츠,오락>복싱,권투장",http://victoryboxinggym.net,031-713-1282,,,,,,,,
110396389,(주)푸르빌하우징,경기도 성남시 분당구 탄천상로 164,,,37.3444366,127.1054167,"*** 건설,건축  자재",,,,,,,,,,
110396512,오래시피 분당이매점,경기도 성남시 분당구 이매로 54,경기도 성남시 분당구 이매동 116,경기도 성남시 분당구 이매로 54,37.3941512,127.1265308,"쇼핑,유통>반찬가게",,031-708-2004,,,,,,,,
110396702,티나헤어,경기도 성남시 중원구 금상로118번길 10-1,경기도 성남시 중원구 상대원동 620,경기도 성남시 중원구 금상로118번길 10-1,37.4421486,127.1671797,"생활,편의>미용실",,,,,,,,,,
110397262,우성메디피아 관리단,경기도 성남시 수정구 위례동로 141,,,37.4726432,127.1500709,*** 주차장,,,,,,,,,,
110398187,명륜진사갈비 성남은행점,경기도 성남시 중원구 은이로 6,경기도 성남시 중원구 은행동 1553-2,경기도 성남시 중원구 은이로 6,37.4575417,127.1648196,"한식>육류,고기요리",,031-733-9293,,,,,,,,
110398799,미소,경기도 성남시 분당구 정자일로 25,경기도 성남시 분당구 금곡동 206 505호,경기도 성남시 분당구 정자일로 25 505호,37.3523995,127.1056651,"미용>속눈썹증모,연장",,,,,,,,,,
110399110,후라이드참잘하는집 야탑이매점,경기도 성남시 분당구 야탑로111번길 9,경기도 성남시 분당구 야탑동 369-7,경기도 성남시 분당구 야탑로111번길 9 101호,37.4105119,127.1311229,"음식점>치킨,닭강정",,,,,,,,,,
110401460,이우고등학교,경기 성남시 분당구 동막로 287,경기도 성남시 분당구 동원동 157-1,경기도 성남시 분당구 동막로 287,37.3527941,127.0907084,"교육,학문>대안학교",,,,,,,,,,
110403797,홍하유치원,경기도 성남시 분당구 중앙공원로 54,경기도 성남시 분당구 서현동 96,경기도 성남시 분당구 중앙공원로 54 우성아파트,37.3808386,127.1311738,"교육,학문>유치원",http://www.honghakids.co.kr,,,,,,,,,
110404241,유니몰,경기도 성남시 중원구 광명로100번길 5,,,37.4352374,127.1404283,"*** 정보통신기기,컴퓨터",,,,,,,,,,
110404332,순천식당,경기도 성남시 중원구 둔촌대로 85,,,37.4303457,127.1286561,*** 한식,,,,,,,,,,
110404845,(주)포인컴_센트럴프라자,경기도 성남시 중원구 여수울로15번길 8-3,,,37.4196283,127.1309823,*** 주차장,,,,,,,,,,
110405149,성남외국어고등학교 수업료,경기 성남시 분당구 대왕판교로385번길 28,,,37.378455,127.0966851,*** 학교등록금,,,,,,,,,,
110405289,분당중앙고등학교,경기 성남시 분당구 불정로 174,경기도 성남시 분당구 정자동 220,경기도 성남시 분당구 불정로 174 분당중앙고등학교,37.3604119,127.1239431,"교육,학문>고등학교",http://www.bdja.hs.kr/,031-713-7116,,,,,,,,
110405297,양영디지털고등학교,경기 성남시 분당구 불정로386번길 35,경기도 성남시 분당구 서현동 316,경기도 성남시 분당구 불정로386번길 35 양영디지털고등학교,37.3736409,127.1405142,"교육,학문>고등학교",http://www.y-y.hs.kr/,031-778-2300,,,,,,,,
110405537,중앙인더스피아 골프클럽,경기도 성남시 중원구 사기막골로105번길 27,경기도 성남시 중원구 상대원동 144-1,경기도 성남시 중원구 사기막골로105번길 27 중앙인더스피아3,37.441223,127.1730911,"스포츠,오락>골프연습장",,,,,,,,,,
110405909,현아헤어,경기도 성남시 중원구 광명로262번길 24-1,,,37.4414138,127.1572813,"*** 이용,미용",,,,,,,,,,
110405958,(주) 주신인테리어,경기도 성남시 분당구 발이봉남로3번길 1,,,37.3655933,127.1258472,"*** 건설,건축  자재",,,,,,,,,,
110406212,매쓰팝보습학원,경기도 성남시 분당구 내정로174번길 6,,,37.3735081,127.120262,*** 일반전문학원,,,,,,,,,,
110406741,성남아성,경기도 성남시 분당구 야탑로139번길 18-4,경기도 성남시 분당구 야탑동 297-1,경기도 성남시 분당구 야탑로139번길 18-4,37.411133,127.1344758,"쇼핑,유통>자동차부품",http://jejusmylife.blog.me/,,,,,,,,,
110406980,오휘화장품,경기도 성남시 분당구 돌마로 75,경기도 성남시 분당구 금곡동 154,경기도 성남시 분당구 돌마로 75 미금프라자,37.3504041,127.1104132,"쇼핑,유통>화장품,향수",http://cafe.naver.com/woorifamilys,031-713-7050,,,,,,,,
110407368,장터건강원,경기도 성남시 중원구 둔촌대로 85,경기도 성남시 중원구 성남동 4183,경기도 성남시 중원구 둔촌대로 85,37.4303341,127.1286394,"쇼핑,유통>건강보조식품",,,,,,,,,,
110408440,오휘화장품,경기도 성남시 분당구 돌마로 75,경기도 성남시 분당구 금곡동 154,경기도 성남시 분당구 돌마로 75 미금프라자,37.3504041,127.1104132,"쇼핑,유통>화장품,향수",http://cafe.naver.com/woorifamilys,031-713-7050,,,,,,,,
110408820,사공이 닭발 떡볶이,경기도 성남시 중원구 광명로 109-9,,,37.4362093,127.1401903,*** 한식,,,,,,,,,,
110410032,케이알정보통신,경기도 성남시 중원구 순환로451번길 3,,,37.4620119,127.1717154,"*** 정보통신기기,컴퓨터",,,,,,,,,,
110413028,성우세탁소,경기도 성남시 분당구 구미로 16,,,37.3376989,127.1109805,*** 세탁소,,,,,,,,,,
110413481,감각디자인,경기도 성남시 분당구 내정로 55,경기도 성남시 분당구 정자동 122 우성3단지 분산상가 101호,경기도 성남시 분당구 내정로 55,37.3646744,127.1113083,전문디자인>인테리어디자인,https://yoonjung8.blog.me/,031-714-7622,,,,,,,,
110413556,샬롬 제과,경기도 성남시 중원구 은이로 18-2,,,37.4568556,127.1659266,*** 제과점,,,,,,,,,,
110413622,(주)소프트마인,경기도 성남시 수정구 대왕판교로 815,,,37.4140687,127.0992389,*** 컴퓨터  소프트웨어,,,,,,,,,,
110414596,수다,경기도 성남시 수정구 복정로 123,경기도 성남시 수정구 복정동  645-9,경기도 성남시 수정구 복정로 123 1층,37.464083,127.1268507,술집>요리주점,,031-753-2609,,,,,,,,
110415338,(주)애틱팹,경기도 성남시 수정구 대왕판교로 815,경기도 성남시 수정구 시흥동 285-2,경기도 성남시 수정구 대왕판교로 815,37.413744,127.0998964,"컴퓨터프로그래밍,정보서비스업>소프트웨어개발",,,,,,,,,,
110415601,유쌤학원,경기도 성남시 수정구 공원로 322,,,37.4433206,127.152081,*** 일반전문학원,,,,,,,,,,
110415965,포레스트헤어살롱,경기도 성남시 분당구 정자일로 100,경기도 성남시 분당구 정자동 180,경기도 성남시 분당구 정자일로 100 미켈란쉐르빌 2층 포레스트헤어,37.3590904,127.1070005,"생활,편의>미용실",,031-782-1234,,,,,,,,
110419702,태평민영주차장,경기도 성남시 수정구 성남대로 1221,,,,,"교통,운수>민영주차장",,,,,,,,,,
110419868,쉐프맘,경기도 성남시 수정구 위례광장로 300,,,37.4734899,127.1427379,*** 식품잡화,,,,,,,,,,
110420015,대신광고,경기도 성남시 분당구 벌말로 33,,,37.4110217,127.1379302,*** 광고,,,,,,,,,,
110420072,주식회사하이파킹(서영빌딩),경기도 성남시 분당구 황새울로258번길 25,,,37.3794292,127.1170235,*** 주차장,,,,,,,,,,
110420130,2080팔팔가죽쌀국수,경기도 성남시 수정구 복정안골로53번길 17-1,,,37.4589407,127.1365874,*** 한식,,,,,,,,,,
110420593,도그스타,경기도 성남시 분당구 야탑로161번길 17,,,37.4114032,127.1368724,*** 일반대중음식,,,,,,,,,,
110420916,성남외국어고등학교,경기 성남시 분당구 대왕판교로385번길 28,경기도 성남시 분당구 백현동 376-1,경기도 성남시 분당구 대왕판교로385번길 28 성남외국어고등학교,37.378498,127.0971748,"교육,학문>고등학교",http://www.snfl.hs.kr/,031-789-2300,,,,,,,,
110422896,히노아지,경기도 성남시 분당구 분당로 55,경기도 성남시 분당구 서현동 266-1 퍼스트타워 2층,경기도 성남시 분당구 분당로 55,37.3828441,127.121658,일식>일본식라면,,031-8017-0522,,,,,,,,
110423563,불곡고등학교,경기 성남시 분당구 금곡로 149,경기도 성남시 분당구 구미동 91,경기도 성남시 분당구 금곡로 149 불곡고등학교,37.3480064,127.1192091,"교육,학문>고등학교",http://www.bulgok.hs.kr/,,,,,,,,,
110424538,더차고,경기도 성남시 분당구 미금로 43,경기도 성남시 분당구 구미동 204-1 정운빌딩 3층,경기도 성남시 분당구 미금로 43 정운빌딩 3층,37.3371027,127.1159555,"카페,디저트>북카페",http://www.thechago.com/,031-605-2707,,,,,,,,
110424587,박승철헤어스튜디오 야탑NC점,경기도 성남시 분당구 야탑로81번길 11,경기도 성남시 분당구 야탑동 357-1,경기도 성남시 분당구 야탑로81번길 11 NC백화점야탑점 지하2층,37.4104166,127.1272983,"생활,편의>미용실",https://store.naver.com/hairshops/detail?id=1005785827,,,,,,,,,
110424611,한양솔가정의학과의원,경기도 성남시 중원구 금상로 82,경기도 성남시 중원구 상대원동 781-1,경기도 성남시 중원구 금상로 82,37.4416786,127.1646302,"건강,의료>병원,의원",,031-732-8834,,,,,,,,
110425428,제이비헤어,경기도 성남시 중원구 제일로63번길 16,,,37.4323943,127.134045,"*** 이용,미용",,,,,,,,,,
110426194,신강원청과주식회사,경기도 성남시 중원구 마지로 132,,,37.4271491,127.1426801,*** 농수산물,,,,,,,,,,
110426210,불곡고등학교 수업료,경기 성남시 분당구 금곡로 149,,,37.348306,127.1191389,*** 학교등록금,,,,,,,,,,
110427259,초이진스,경기도 성남시 분당구 황새울로351번길 10,,,37.3876779,127.1231362,*** 식품잡화,,,,,,,,,,
110428521,비마이카(주) 빈앤클랑 분당점,경기도 성남시 분당구 판교역로18번길 2,,,37.3838752,127.1109736,*** 양식,,,,,,,,,,
110429040,식물원,경기도 성남시 중원구 둔촌대로64번길 4-9,경기도 성남시 중원구 성남동 4904 1층,경기도 성남시 중원구 둔촌대로64번길 4-9 1층 ,37.4286225,127.1260216,"카페,디저트>테마카페",http://instagram.com/cafe_sikmulwon,,,,,,,,,
110430014,주식회사제이앤엘,경기도 성남시 중원구 둔촌대로 464,,,37.4316583,127.1682385,*** 화장품,,,,,,,,,,
110431889,성남야시장 (모란점),경기도 성남시 중원구 둔촌대로101번길 27,,,0,0,술집>요리주점,,,,,,,,,,
110433646,바이줄리,경기도 성남시 분당구 불정로 381,,,37.3745736,127.1367323,*** 남.여기성복,,,,,,,,,,
110433935,착한치킨,경기도 성남시 중원구 금상로 65,경기도 성남시 중원구 금광동 148,경기도 성남시 중원구 금상로 65,37.4410235,127.1629098,"음식점>치킨,닭강정",,,,,,,,,,
110434024,카나카페,경기도 성남시 중원구 제일로 60,경기도 성남시 중원구 성남동  3110,경기도 성남시 중원구 제일로 60 스포츠센터 A동 B1층 카나카페,37.4326253,127.1380234,"카페,디저트>카페",http://www.instagram.com/kanah__cafe,031-759-0543,,,,,,,,
110434420,허브,경기도 성남시 분당구 백현로101번길 20,,,0,0,,,,,,,,,,,
110434669,주식회사 지에프바이오,경기도 성남시 수정구 복정로118번길 15-5,,,37.4639848,127.1285258,*** 과학기자재,,,,,,,,,,
110435427,맛쟁이,경기도 성남시 중원구 산성대로382번길 46,경기도 성남시 중원구 금광동 3671 1층,경기도 성남시 중원구 산성대로382번길 46,37.4460922,127.1624478,음식점>한식,,0504-0544-2985,,,,,,,,
110435609,명품당구클럽,경기도 성남시 중원구 산성대로 598,경기도 성남시 중원구 은행동 607,경기도 성남시 중원구 산성대로 598,37.4625482,127.1695796,"스포츠,오락>당구장",,,,,,,,,,
110436029,시아카롱,경기도 성남시 분당구 서현로 471,경기도 성남시 분당구 분당동 113,경기도 성남시 분당구 서현로 471 상가 1층 102호,37.371811,127.1484085,"음식점>카페,디저트",http://instagram.com/sia_caron,031-708-7773,,,,,,,,
110436094,아트포이 미술교습소,경기도 성남시 분당구 불정로 219,,,37.3642737,127.1221125,*** 일반전문학원,,,,,,,,,,
110436441,온더테이블,경기도 성남시 분당구 백현로 97,,,0,0,,,,,,,,,,,
110437233,달팽이(Schnecke),경기도 성남시 분당구 미금일로 85,,,37.3456108,127.1102265,*** 수제용품점,,,,,,,,,,
110437449,동서울포차,경기도 성남시 수정구 복정로 96,,,37.4614676,127.1270488,*** 일반대중음식,,,,,,,,,,
110437837,히치하이커,경기도 성남시 분당구 불정로71번길 4-5,경기도 성남시 분당구 정자동 141-11,경기도 성남시 분당구 불정로71번길 4-5 1층 히치하이커,37.3604392,127.113007,"음식점>카페,디저트",http://www.instagram.com/hitchhiker_cafebar,,,,,,,,,
110438579,장군푸드,경기도 성남시 분당구 내정로129번길 5,,,37.3717897,127.1154644,*** 한식,,,,,,,,,,
110438728,오케이당구장 (ok당구장),경기도 성남시 수정구 시민로 172,,,0,0,"스포츠,오락>당구장",,031-623-1248,,,,,,,,
110439197,제이코퍼,경기도 성남시 중원구 산성대로 지하204-5,,,0,0,"*** 가방,핸드백(가죽)",,,,,,,,,,
110439650,비법스터디논술학원,경기도 성남시 분당구 백현로101번길 12,,,37.376752,127.1123568,*** 일반전문학원,,,,,,,,,,
110440542,주식회사 푸드크리에이터,경기도 성남시 분당구 판교역로 145,,,37.3944991,127.1083341,*** 일반대중음식,,,,,,,,,,
110441052,어사출또,경기도 성남시 분당구 장미로86번길 16,경기도 성남시 분당구 야탑동 361-7,경기도 성남시 분당구 장미로86번길 16,37.4122783,127.1302465,일식>일식당,,031-704-5475,,,,,,,,
110441540,더타이,경기도 성남시 중원구 금상로 17,경기도 성남시 중원구 상대원동 2999-31 3층,경기도 성남시 중원구 금상로 17,37.4377838,127.159429,"미용>마사지,지압",,031-745-5655,,,,,,,,
